[10:25:34.866]	TCP Server Open (Port : 25007)
[10:26:52.794]	TCP Server Open (Port : 25007)
[10:27:58.773]	TCP Server Open (Port : 25007)
[10:32:50.667]	TCP Server Open (Port : 25007)
[10:34:06.313]	TCP Server Open (Port : 25007)
[10:36:51.141]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-28
[10:36:52.045]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1258
[10:36:52.045]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-40/BPN_3,-57/BPN_4,-52/BPN_2,-23
[10:36:52.045]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:12,-38
[10:36:52.495]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-55
[10:36:52.948]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-39
[10:36:54.152]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1258
[10:36:54.152]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-40/BPN_3,-57/BPN_4,-60/BPN_2,-55
[10:36:54.152]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-50
[10:36:54.754]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-37
[10:36:56.109]	[<<-RECV] :39.7.52.209, 	0001GN035.1766E129.1259
[10:36:56.109]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-37/BPN_3,-61/BPN_4,-53/BPN_2,-55
[10:36:56.109]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-45
[10:36:56.711]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-28
[10:36:57.314]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-28
[10:36:58.821]	[<<-RECV] :39.7.52.209, 	0001GN035.1766E129.1259
[10:36:58.821]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-39/BPN_3,-61/BPN_4,-53/BPN_2,-42
[10:36:58.821]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-55
[10:36:58.971]	[<<-RECV] :39.7.52.209, 	0001GN035.1766E129.1259
[10:36:58.971]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-39/BPN_3,-61/BPN_4,-53/BPN_2,-42
[10:36:58.971]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-55
[10:36:58.971]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-37
[10:36:59.273]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-33
[10:37:00.176]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-49
[10:37:00.628]	[<<-RECV] :39.7.52.209, 	0001GN035.1766E129.1259
[10:37:00.628]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-37/BPN_3,-61/BPN_4,-54/BPN_2,-47
[10:37:00.628]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-37
[10:37:01.231]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-43
[10:37:02.285]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-45
[10:37:02.586]	[<<-RECV] :39.7.52.209, 	0001GN035.1766E129.1259
[10:37:02.586]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-38/BPN_3,-62/BPN_4,-46/BPN_2,-62
[10:37:02.586]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-41
[10:37:03.189]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-44
[10:38:49.053]	TCP Server Open (Port : 25007)
[10:38:51.148]	[CONNECT] :39.7.52.27	CONNECTED SOCKET
[10:38:51.901]	[<<-RECV] :39.7.52.27, 	0001GN035.1765E129.1259
[10:38:51.901]	[<<-RECV] :39.7.52.27, 	0001WBPN_1,-37/BPN_3,-66/BPN_4,-60/BPN_2,-57
[10:38:51.901]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:14,-29
[10:38:52.805]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:11,-41
[10:38:53.859]	[<<-RECV] :39.7.52.27, 	0001GN035.1765E129.1259
[10:38:53.859]	[<<-RECV] :39.7.52.27, 	0001WBPN_1,-36/BPN_3,-66/BPN_4,-67/BPN_2,-55
[10:38:54.311]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:0e,-53
[10:38:54.762]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:11,-38
[10:38:55.215]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:14,-43
[10:38:55.969]	[<<-RECV] :39.7.52.27, 	0001GN035.1765E129.1258
[10:38:55.969]	[<<-RECV] :39.7.52.27, 	0001WBPN_1,-39/BPN_3,-59/BPN_4,-51/BPN_2,-66
[10:38:56.421]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:0e,-49
[10:38:57.325]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:14,-45
[10:38:57.926]	[<<-RECV] :39.7.52.27, 	0001GN035.1765E129.1258
[10:38:57.926]	[<<-RECV] :39.7.52.27, 	0001WBPN_1,-13/BPN_3,-43/BPN_4,-45/BPN_2,-66
[10:38:57.926]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:12,-34
[10:38:58.529]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:0e,-43
[10:38:58.980]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:11,-31
[10:39:00.185]	[<<-RECV] :39.7.52.27, 	0001GN035.1765E129.1258
[10:39:00.185]	[<<-RECV] :39.7.52.27, 	0001WBPN_1,-36/BPN_3,-53/BPN_4,-19/BPN_2,-24
[10:39:00.185]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:0e,-55
[10:39:00.787]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:11,-38
[10:39:01.238]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:14,-36
[10:39:02.143]	[<<-RECV] :39.7.52.27, 	0001GN035.1765E129.1258
[10:39:02.143]	[<<-RECV] :39.7.52.27, 	0001WBPN_1,-38/BPN_3,-56/BPN_4,-50/BPN_2,-57
[10:39:02.143]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:0e,-50
[10:39:02.746]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:11,-38
[10:39:03.347]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:14,-45
[10:39:04.250]	[<<-RECV] :39.7.52.27, 	0001GN035.1765E129.1258
[10:39:04.250]	[<<-RECV] :39.7.52.27, 	0001WBPN_1,-15/BPN_3,-55/BPN_4,-53/BPN_2,-57
[10:39:04.250]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:0e,-44
[10:39:04.853]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:11,-41
[10:39:05.304]	[<<-RECV] :39.7.52.27, 	0001B50:8d:6f:b0:02:14,-32
[10:39:06.208]	[<<-RECV] :39.7.52.27, 	0001GN035.1765E129.1259
[10:39:06.208]	[<<-RECV] :39.7.52.27, 	0001WBPN_1,-37/BPN_3,-57/BPN_4,-53/BPN_2,-59
