[11:03:45.995]	TCP Server Open (Port : 25007)
[11:05:17.735]	TCP Server Open (Port : 25007)
[11:07:17.996]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:17.996]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-40/BPN_1,-8/BPN_4,-36/BPN_2,-11
[11:07:17.996]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-47
[11:07:18.748]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-46
[11:07:19.652]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-61
[11:07:20.105]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:20.105]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-39/BPN_1,-40/BPN_4,-9/BPN_2,-12
[11:07:20.105]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-48
[11:07:20.707]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-42
[11:07:21.613]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-61
[11:07:22.065]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:22.065]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-43/BPN_1,-48/BPN_4,-47/BPN_2,-44
[11:07:22.065]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-47
[11:07:22.818]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-44
[11:07:24.021]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:24.021]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-15/BPN_1,-43/BPN_4,-34/BPN_2,-44
[11:07:24.021]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-49
[11:07:24.773]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-46
[11:07:25.526]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-49
[11:07:26.128]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:26.128]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-9/BPN_1,-16/BPN_4,-18/BPN_2,-48
[11:07:26.128]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-48
[11:07:26.730]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-47
[11:07:27.634]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-61
[11:07:28.087]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-47
[11:07:28.539]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:28.539]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-28/BPN_1,-44/BPN_4,-41/BPN_2,-36
[11:07:28.991]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-43
[11:07:29.593]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-54
[11:07:30.046]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-47
[11:07:30.498]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:30.498]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-28/BPN_1,-44/BPN_4,-44/BPN_2,-13
[11:07:30.951]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-44
[11:07:31.554]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-63
[11:07:32.004]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-48
[11:07:32.608]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:32.608]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-15/BPN_1,-10/BPN_4,-10/BPN_2,-45
[11:07:33.060]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-32
[11:07:33.662]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-55
[11:07:34.113]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-49
[11:07:34.715]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:34.715]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-26/BPN_1,-45/BPN_4,-55/BPN_2,-41
[11:07:34.715]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-57
[11:07:35.317]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-28
[11:07:35.618]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-36
[11:07:36.070]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-50
[11:07:36.823]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:36.823]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-14/BPN_1,-12/BPN_4,-12/BPN_2,-13
[11:07:36.823]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-31
[11:07:37.576]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-45
[11:07:38.027]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-50
[11:07:38.780]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:38.780]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-38/BPN_1,-12/BPN_4,-17/BPN_2,-46
[11:07:38.780]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-40
[11:07:40.134]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-49
[11:07:40.737]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:40.737]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-16/BPN_1,-52/BPN_4,-15/BPN_2,-40
[11:07:40.737]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-40
[11:08:29.823]	[CONNECT] :175.223.31.157,	CONNECTED SOCKET
[11:08:30.431]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:08:31.184]	[<<-RECV] :175.223.31.157, 	AT$$TCPOPEN=58.231.100.202,25007
[11:08:32.990]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:08:35.096]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:08:37.203]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:08:39.311]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:08:41.421]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:08:43.529]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:08:45.485]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:08:47.595]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:08:49.702]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:08:51.811]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:08:53.920]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:08:56.029]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:08:58.137]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:00.246]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:02.354]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:04.459]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:06.566]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:08.677]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:10.785]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:12.892]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:14.998]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:17.107]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:19.214]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:21.322]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:23.430]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:25.387]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:27.494]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:29.600]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:31.706]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:33.813]	[<<-RECV] :175.223.31.157, 	0001GF000.0000F000.0000
[11:09:34.869]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:0e,-32
[11:09:35.622]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-60
[11:09:36.074]	[<<-RECV] :175.223.31.157, 	0001GN035.1768E129.1266
[11:09:36.074]	[<<-RECV] :175.223.31.157, 	0001WBPN_2,-53/BPN_1,-26/BPN_3,-62/BPN_4,-58
[11:09:36.074]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:11,-47
[11:09:36.977]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:12,-52
[11:09:37.580]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-54
[11:09:38.031]	[<<-RECV] :175.223.31.157, 	0001GN035.1768E129.1267
[11:09:38.031]	[<<-RECV] :175.223.31.157, 	0001WBPN_2,-69/BPN_1,-26/BPN_3,-59/BPN_4,-58
[11:09:38.031]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:11,-40
[11:09:38.784]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:12,-56
[11:09:39.687]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-56
[11:09:40.138]	[<<-RECV] :175.223.31.157, 	0001GN035.1768E129.1268
[11:09:40.138]	[<<-RECV] :175.223.31.157, 	0001WBPN_2,-54/BPN_1,-26/BPN_3,-26/BPN_4,-58
[11:09:40.138]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:11,-48
[11:09:40.740]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:0e,-39
[11:09:41.644]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-59
[11:09:42.096]	[<<-RECV] :175.223.31.157, 	0001GN035.1768E129.1269
[11:09:42.096]	[<<-RECV] :175.223.31.157, 	0001WBPN_2,-56/BPN_1,-26/BPN_3,-59/BPN_4,-56
[11:09:42.096]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:11,-46
[11:09:42.850]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:0e,-40
[11:09:43.603]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-36
[11:09:44.204]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:11,-34
[11:09:44.655]	[<<-RECV] :175.223.31.157, 	0001GN035.1768E129.1269
[11:09:44.655]	[<<-RECV] :175.223.31.157, 	0001WBPN_2,-51/BPN_1,-28/BPN_3,-58/BPN_4,-67
[11:09:45.108]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:12,-56
[11:09:45.710]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-56
[11:09:46.163]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:11,-49
[11:09:46.615]	[<<-RECV] :175.223.31.157, 	0001GN035.1768E129.1270
[11:09:46.615]	[<<-RECV] :175.223.31.157, 	0001WBPN_2,-50/BPN_1,-29/BPN_3,-32/BPN_4,-55
[11:09:47.066]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:12,-48
[11:09:47.668]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-60
[11:09:48.120]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:11,-48
[11:09:48.571]	[<<-RECV] :175.223.31.157, 	0001GN035.1768E129.1271
[11:09:48.571]	[<<-RECV] :175.223.31.157, 	0001WBPN_2,-51/BPN_1,-29/BPN_3,-58/BPN_4,-57
[11:09:49.022]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:0e,-40
[11:09:49.624]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:14,-54
[11:09:50.678]	[<<-RECV] :175.223.31.157, 	0001GN035.1768E129.1272
[11:09:50.678]	[<<-RECV] :175.223.31.157, 	0001WBPN_2,-55/BPN_1,-31/BPN_3,-58/BPN_4,-57
[11:09:50.678]	[<<-RECV] :175.223.31.157, 	0001B50:8d:6f:b0:02:0e,-44
