[00:01:07.865]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:01:08.318]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:01:08.770]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:09.222]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-55
[00:01:09.824]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:09.824]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:01:10.275]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-55
[00:01:10.877]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:10.877]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-56
[00:01:11.329]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:01:11.932]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:11.932]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-48
[00:01:12.233]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:01:12.836]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:12.836]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-54
[00:01:13.288]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-47
[00:01:13.890]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:13.890]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:01:14.342]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-50
[00:01:14.794]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:14.794]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-50
[00:01:15.246]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:01:15.849]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:15.849]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:01:16.301]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-55
[00:01:16.753]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:16.753]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-56
[00:01:17.356]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-46
[00:01:17.806]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:17.806]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-47
[00:01:18.258]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-52
[00:01:18.860]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:18.860]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-54
[00:01:19.312]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-47
[00:01:19.764]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:19.764]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:01:20.217]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:01:20.819]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:20.819]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-64
[00:01:21.270]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-47
[00:01:21.872]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:21.872]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:01:22.323]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-54
[00:01:22.775]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:22.775]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-54
[00:01:23.227]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:01:23.829]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:23.829]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-46
[00:01:24.281]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-52
[00:01:24.883]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:24.883]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-57
[00:01:25.336]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:01:25.788]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:25.788]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:01:26.239]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:01:26.842]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:26.842]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-64
[00:01:27.293]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-47
[00:01:27.894]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:27.894]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:01:28.346]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-55
[00:01:28.797]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:28.797]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-56
[00:01:29.249]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:01:29.851]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:29.851]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-48
[00:01:30.304]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:01:30.754]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:30.754]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-55
[00:01:31.206]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:12,-45
[00:01:31.809]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:31.809]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:01:32.261]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-50
[00:01:32.864]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:32.864]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-63
[00:01:33.316]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-47
[00:01:33.767]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:33.767]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:01:34.218]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-55
[00:01:34.820]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:34.820]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-56
[00:01:35.272]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:01:35.874]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:35.874]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-47
[00:01:36.327]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:01:36.778]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:36.778]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-55
[00:01:37.230]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[00:01:37.832]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:37.832]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:01:38.284]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:01:38.735]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:38.735]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-64
[00:01:39.337]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-47
[00:01:39.788]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:39.788]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:01:40.240]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-55
[00:01:40.842]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:40.842]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-56
[00:01:41.444]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:01:41.896]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:01:41.896]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-46
